,Reference,New,ratio
,0,0,0
data,,,
0,648795.6510052409,648097.8809317062,1.0010766430412201
1,649232.6095125152,648749.465905147,1.000744730643738
2,653785.1080180686,653274.4486718978,1.0007816919017865
3,659055.4841682898,658589.6157535051,1.000707372851987
4,666385.9283294312,665834.4912962406,1.000828189347952
5,673863.6607148247,673410.3769726928,1.0006731166575864
6,680024.86869146,679618.7945589186,1.0005975027997938
7,679193.0061428215,678798.6538182924,1.0005809562560426
8,677888.6782396159,677466.4646576741,1.00062322432765
9,661737.9492042484,661349.64107703,1.0005871449882184
10,618999.5152472866,618690.5694932557,1.0004993542317673
11,480082.6214375719,479502.3952417298,1.0012100590145114
12,476659.77581333014,476271.9935160996,1.000814203443641
13,472932.55670100806,472568.3300131458,1.0007707386736053
14,466570.92807122687,466225.72965786944,1.000740410473722
15,457658.5514265371,457304.754451516,1.0007736568919896
16,445262.4485942932,444903.0924257259,1.0008077178484152
17,430110.17339303624,429799.0355490248,1.000723914709613
18,416024.4998732817,415748.72145444877,1.0006633295656764
19,401224.84484616725,400997.0040253015,1.0005681858432323
20,380322.1189685975,380061.3225048986,1.0006861957485704
21,353231.38043368014,352960.1294569662,1.0007685031653044
22,135353.36230745667,135236.30259194385,1.0008655938773041
23,133852.54647653614,133737.76547087278,1.0008582542504671
24,130966.05232650477,130867.26130898019,1.000754894818891
25,127015.23903954963,126926.51310966123,1.0006990338560058
26,121077.3403156566,121010.7848486708,1.0005499961600037
27,112700.58652219502,112644.61493976055,1.0004968864464974
28,98428.23526001412,98368.88222815127,1.0006033720269911
29,57493.30754323657,57466.266288406456,1.0004705587569307
