,Reference,New,ratio
,0,0,0
data,,,
2,61332.896947137975,61605.27869047807,0.9955785973356501
3,84150.989368035,84154.39211998059,0.9999595653671797
4,102617.4112173948,102485.2106828025,1.0012899474344787
5,119066.70070668573,118871.92251550901,1.0016385550688078
6,130240.14304149443,130290.04337802566,0.9996170057570214
7,139309.92666022657,138725.2477473155,1.0042146539465984
8,144067.50756350372,143383.79252728194,1.0047684262228709
9,143521.33223612016,143292.56283004643,1.001596519746423
10,134367.58949872086,134204.9778438062,1.0012116663444772
11,117198.37686831124,117139.66638885935,1.0005012006714873
12,98002.33333130601,97390.43856077669,1.006282903943876
13,77591.55678694505,77597.72808263161,0.9999204706653267
14,57309.38333217226,57189.325037556475,1.0020993130192908
15,38079.50693106923,38090.2209238332,0.9997187206452439
16,17485.503395118067,17524.609743670022,0.9977684896197999
17,2714.439944425579,2743.720361760446,0.9893282064225818
