,Reference,New,ratio
,0,0,0
data,,,
0,8465.881622139013,8465.881622139013,1.0
1,24908.29430817254,24908.29430817254,1.0
2,38888.375132271234,38888.375132271234,1.0
3,52933.66824263436,52933.66824263436,1.0
4,63562.40091257985,63562.40091257985,1.0
5,72094.0155186081,72094.0155186081,1.0
6,77661.68344527889,77661.68344527889,1.0
7,79025.87471216948,79025.87471216948,1.0
8,77818.13707622813,77818.13707622813,1.0
9,72876.68632100029,72876.68632100029,1.0
10,61644.162214744756,61644.162214744756,1.0
11,47423.08695845939,47423.08695845939,1.0
12,34808.82355277553,34808.82355277553,1.0
13,22292.888787568572,22292.888787568572,1.0
14,12729.866244271447,12729.866244271447,1.0
15,6009.696720124699,6009.696720124699,1.0
16,1409.4475218685109,1409.4475218685109,1.0
