,Reference,New,ratio
,0,0,0
data,,,
0,584966.166742633,584966.166742633,1.0
1,585968.1292204862,585968.1292204862,1.0
2,588800.5559983634,588800.5559983634,1.0
3,593938.2342658715,593938.2342658715,1.0
4,597373.8141561426,597373.8141561426,1.0
5,604340.0151367288,604340.0151367288,1.0
6,612354.7257585351,612354.7257585351,1.0
7,612914.0947033099,612914.0947033099,1.0
8,609784.6337808119,609784.6337808119,1.0
9,601920.4315585956,601920.4315585956,1.0
10,571725.9937731777,571725.9937731777,1.0
11,443690.91770408885,443690.91770408885,1.0
12,442005.9805035385,442005.9805035385,1.0
13,438312.7199803631,438312.7199803631,1.0
14,431461.06845224,431461.06845224,1.0
15,422976.0940310504,422976.0940310504,1.0
16,410748.5614556776,410748.5614556776,1.0
17,396833.47418008576,396833.47418008576,1.0
18,385122.62254961894,385122.62254961894,1.0
19,369715.03550520405,369715.03550520405,1.0
20,352825.2220653762,352825.2220653762,1.0
21,326785.4156185848,326785.4156185848,1.0
22,3460.4255685297944,3460.4255685297944,1.0
23,3447.3034832082467,3447.3034832082467,1.0
24,3436.5124965630475,3436.5124965630475,1.0
25,3407.5007262739728,3407.5007262739728,1.0
26,3043.629000327408,3043.629000327408,1.0
27,1565.11429833304,1565.11429833304,1.0
28,135643.2703839496,135643.2703839496,1.0
29,135477.8381234221,135477.8381234221,1.0
30,134754.86876823023,134754.86876823023,1.0
31,133904.6332220411,133904.6332220411,1.0
32,132324.32112874484,132324.32112874484,1.0
33,129813.89464851216,129813.89464851216,1.0
34,121409.11839949279,121409.11839949279,1.0
35,107859.18240860043,107859.18240860043,1.0
36,90191.30090869863,90191.30090869863,1.0
37,68910.22001174993,68910.22001174993,1.0
38,45720.883460288554,45720.883460288554,1.0
39,22228.06715320286,22228.06715320286,1.0
40,1461.8987713526897,1461.8987713526897,1.0
41,1453.604345887804,1453.604345887804,1.0
42,1365.3644279626094,1365.3644279626094,1.0
43,1147.9100378468493,1147.9100378468493,1.0
44,784.6695868367744,784.6695868367744,1.0
45,325.6283663747274,325.6283663747274,1.0
