,Reference,New,ratio
,0,0,0
data,,,
0,0.1498537278516456,0.1498537278516456,1.0
1,0.15357769492120676,0.15357769492120676,1.0
2,0.1596285893574221,0.1596285893574221,1.0
3,0.16836007799015953,0.16836007799015953,1.0
4,0.18065828296911263,0.18065828296911263,1.0
5,0.19427292053166745,0.19427292053166745,1.0
6,0.21065873595917162,0.21065873595917162,1.0
7,0.2269464528190338,0.2269464528190338,1.0
8,0.24185645193365427,0.24185645193365427,1.0
9,0.25758857177958944,0.25758857177958944,1.0
10,0.26515959318231835,0.26515959318231835,1.0
