,Reference,New,ratio
,0,0,0
data,,,
0,651201.0376837531,651201.0376837531,1.0
1,651720.968368721,651720.968368721,1.0
2,656105.8782311503,656105.8782311503,1.0
3,661246.4671709556,661246.4671709556,1.0
4,668304.0567821228,668304.0567821228,1.0
5,675636.56717735,675636.56717735,1.0
6,681634.6400567354,681634.6400567354,1.0
7,680689.9264460456,680689.9264460456,1.0
8,679244.9128666583,679244.9128666583,1.0
9,663042.9592808908,663042.9592808908,1.0
10,620343.0253791452,620343.0253791452,1.0
11,481771.74659383047,481771.74659383047,1.0
12,478516.8791277115,478516.8791277115,1.0
13,474673.9742452639,474673.9742452639,1.0
14,468144.31050029054,468144.31050029054,1.0
15,458987.7797463978,458987.7797463978,1.0
16,446320.84582052927,446320.84582052927,1.0
17,431021.31774001045,431021.31774001045,1.0
18,416873.6593478497,416873.6593478497,1.0
19,402109.1257962199,402109.1257962199,1.0
20,381259.04636618274,381259.04636618274,1.0
21,354430.46922886604,354430.46922886604,1.0
22,135677.8708134031,135677.8708134031,1.0
23,134204.53386832666,134204.53386832666,1.0
24,131286.9630668673,131286.9630668673,1.0
25,127267.35250160091,127267.35250160091,1.0
26,121274.37256742571,121274.37256742571,1.0
27,112865.52530641326,112865.52530641326,1.0
28,98592.75948118333,98592.75948118333,1.0
29,57703.77725194772,57703.77725194772,1.0
