,Reference,New,ratio
,0,0,0
data,,,
0,5.846215447070254,5.846215447070254,1.0
1,5.126474209538272,5.126474209538272,1.0
2,4.483879674425772,4.483879674425772,1.0
3,3.897854567176775,3.897854567176775,1.0
4,3.3630475600801386,3.3630475600801386,1.0
5,2.8830307039433443,2.8830307039433443,1.0
6,2.44750942405224,2.44750942405224,1.0
7,2.0611003225255766,2.0611003225255766,1.0
8,1.723255850281693,1.723255850281693,1.0
10,5.862389256725106,5.862389256725106,1.0
11,5.110191853217846,5.110191853217846,1.0
12,4.447366748322192,4.447366748322192,1.0
13,3.8525030019558177,3.8525030019558177,1.0
14,3.317765018925641,3.317765018925641,1.0
15,2.839665151222123,2.839665151222123,1.0
16,2.411872348754226,2.411872348754226,1.0
17,2.034045035970336,2.034045035970336,1.0
18,1.7030326152714046,1.7030326152714046,1.0
20,5.8314855977885,5.8314855977885,1.0
21,5.047965479639752,5.047965479639752,1.0
22,4.372827612928784,4.372827612928784,1.0
23,3.769566087348025,3.769566087348025,1.0
24,3.23646579725399,3.23646579725399,1.0
25,2.765757592372545,2.765757592372545,1.0
26,2.3516890382152718,2.3516890382152718,1.0
27,1.9875085544620938,1.9875085544620938,1.0
28,1.668729132093072,1.668729132093072,1.0
30,5.705499851763156,5.705499851763156,1.0
31,4.90978177448853,4.90978177448853,1.0
32,4.233457333113973,4.233457333113973,1.0
33,3.63944084375448,3.63944084375448,1.0
34,3.1165916374911635,3.1165916374911635,1.0
35,2.661006993832264,2.661006993832264,1.0
36,2.2641591098043747,2.2641591098043747,1.0
37,1.9145276120698418,1.9145276120698418,1.0
38,1.6139218098579091,1.6139218098579091,1.0
42,5.457282516872702,5.457282516872702,1.0
43,4.680726550037845,4.680726550037845,1.0
44,4.024114412963756,4.024114412963756,1.0
45,3.452523488277075,3.452523488277075,1.0
46,2.950091355504238,2.950091355504238,1.0
47,2.5186047501198257,2.5186047501198257,1.0
48,2.145154079287104,2.145154079287104,1.0
49,1.8191807212331412,1.8191807212331412,1.0
50,1.5371137209688381,1.5371137209688381,1.0
54,5.08829941633249,5.08829941633249,1.0
55,4.352670652634436,4.352670652634436,1.0
56,3.7383773313925186,3.7383773313925186,1.0
57,3.2022739221634247,3.2022739221634247,1.0
58,2.7381390437812563,2.7381390437812563,1.0
59,2.3371103207751194,2.3371103207751194,1.0
60,1.9890424832403135,1.9890424832403135,1.0
61,1.689478480879408,1.689478480879408,1.0
62,1.430755079754433,1.430755079754433,1.0
66,4.6103957768307735,4.6103957768307735,1.0
67,3.9333937171608477,3.9333937171608477,1.0
68,3.374694826279695,3.374694826279695,1.0
69,2.889608087280542,2.889608087280542,1.0
70,2.4698278921541506,2.4698278921541506,1.0
71,2.110046417961942,2.110046417961942,1.0
72,1.798290505207198,1.798290505207198,1.0
73,1.5272645584080604,1.5272645584080604,1.0
74,1.2938581971396483,1.2938581971396483,1.0
78,4.039086111120176,4.039086111120176,1.0
79,3.44877460933599,3.44877460933599,1.0
80,2.950639895497149,2.950639895497149,1.0
81,2.522123970671145,2.522123970671145,1.0
82,2.1569818092441273,2.1569818092441273,1.0
83,1.8365731745005671,1.8365731745005671,1.0
84,1.56641835538119,1.56641835538119,1.0
85,1.3309276234992709,1.3309276234992709,1.0
86,1.1296363384632775,1.1296363384632775,1.0
90,3.3983718556678646,3.3983718556678646,1.0
91,2.8985842992598227,2.8985842992598227,1.0
92,2.474545669403514,2.474545669403514,1.0
93,2.1197813461781867,2.1197813461781867,1.0
94,1.810411586858716,1.810411586858716,1.0
95,1.5485209542841807,1.5485209542841807,1.0
96,1.3166934219879862,1.3166934219879862,1.0
97,1.1166153900728581,1.1166153900728581,1.0
98,0.9444548750791044,0.9444548750791044,1.0
103,2.3436764615280654,2.3436764615280654,1.0
104,1.998935830998885,1.998935830998885,1.0
105,1.6990546772930073,1.6990546772930073,1.0
106,1.4510862209815907,1.4510862209815907,1.0
107,1.2373273511018141,1.2373273511018141,1.0
108,1.048028578053983,1.048028578053983,1.0
109,0.8893559643781213,0.8893559643781213,1.0
110,0.7572297087220097,0.7572297087220097,1.0
