,Reference,New,ratio
,0,0,0
data,,,
2,61569.629502383366,61569.629502383366,1.0
3,83901.2530836676,83901.2530836676,1.0
4,102337.43254130453,102337.43254130453,1.0
5,118648.88989296797,118648.88989296797,1.0
6,130346.44257986364,130346.44257986364,1.0
7,138906.3125963985,138906.3125963985,1.0
8,143691.05676874192,143691.05676874192,1.0
9,143577.11909367473,143577.11909367473,1.0
10,134503.06885364812,134503.06885364812,1.0
11,117369.48385683839,117369.48385683839,1.0
12,97556.5847982932,97556.5847982932,1.0
13,77591.20956862315,77591.20956862315,1.0
14,57212.77139038127,57212.77139038127,1.0
15,38245.95272045265,38245.95272045265,1.0
16,17590.82068566154,17590.82068566154,1.0
17,2761.3362654950506,2761.3362654950506,1.0
