,Reference,New,ratio
,0,0,0
data,,,
0,71.09258574449818,71.09258574449818,1.0
1,70.85630502384161,70.85630502384161,1.0
2,70.27410711355546,70.27410711355546,1.0
3,70.36988864874229,70.36988864874229,1.0
4,69.50799368289823,69.50799368289823,1.0
5,69.27376642547051,69.27376642547051,1.0
6,68.45765817926102,68.45765817926102,1.0
7,67.22049726209369,67.22049726209369,1.0
8,66.39959511958821,66.39959511958821,1.0
9,64.61998782896092,64.61998782896092,1.0
10,63.48130606074895,63.48130606074895,1.0
11,61.60316180612624,61.60316180612624,1.0
12,59.11219043473739,59.11219043473739,1.0
13,56.92722719005046,56.92722719005046,1.0
14,53.7691296747668,53.7691296747668,1.0
15,51.033133244818345,51.033133244818345,1.0
16,46.89672972496558,46.89672972496558,1.0
17,42.62288191974371,42.62288191974371,1.0
18,38.111975240550045,38.111975240550045,1.0
19,33.277779933978564,33.277779933978564,1.0
20,28.47171688029254,28.47171688029254,1.0
21,22.909172492593196,22.909172492593196,1.0
22,17.869547632734562,17.869547632734562,1.0
23,13.21787706284455,13.21787706284455,1.0
24,8.877346779042249,8.877346779042249,1.0
25,5.399507747643931,5.399507747643931,1.0
26,2.9273122006402046,2.9273122006402046,1.0
27,0.8186692936764545,0.8186692936764545,1.0
