,Reference,New,ratio
,0,0,0
data,,,
0,772035.2813017135,772035.2813017135,1.0
1,775782.0616859993,775782.0616859993,1.0
2,777037.5844100968,777037.5844100968,1.0
3,781231.4859651146,781231.4859651146,1.0
4,783658.1646573961,783658.1646573961,1.0
5,790903.2080540403,790903.2080540403,1.0
6,793480.4554390647,793480.4554390647,1.0
7,798224.0971937007,798224.0971937007,1.0
8,797864.494214588,797864.494214588,1.0
9,788757.2708161391,788757.2708161391,1.0
10,758763.1434998931,758763.1434998931,1.0
11,589346.9191055408,589346.9191055408,1.0
12,586032.6568127203,586032.6568127203,1.0
13,582933.3304784968,582933.3304784968,1.0
14,574666.8863233516,574666.8863233516,1.0
15,565246.1622915791,565246.1622915791,1.0
16,550912.6396601658,550912.6396601658,1.0
17,536486.2278159454,536486.2278159454,1.0
18,523169.1779102465,523169.1779102465,1.0
19,502787.5084132511,502787.5084132511,1.0
20,478059.48992777604,478059.48992777604,1.0
21,449458.19520904555,449458.19520904555,1.0
