,Reference,New,ratio
,0,0,0
data,,,
0,1.0603348056787694,1.0603348056787694,1.0
1,1.0836826051036015,1.0836826051036015,1.0
2,1.1034894750451176,1.1034894750451176,1.0
3,1.1226417903175514,1.1226417903175514,1.0
4,1.1425278586637706,1.1425278586637706,1.0
5,1.1499239472010037,1.1499239472010037,1.0
6,1.1536588377532564,1.1536588377532564,1.0
7,1.1536260931056606,1.1536260931056606,1.0
8,1.1543099820196414,1.1543099820196414,1.0
9,1.1523876197615035,1.1523876197615035,1.0
10,1.148219103549041,1.148219103549041,1.0
11,1.1413620304244156,1.1413620304244156,1.0
12,1.130109926362618,1.130109926362618,1.0
13,1.0825378066327316,1.0825378066327316,1.0
14,1.0520853000608705,1.0520853000608705,1.0
