,Reference,New,ratio
,0,0,0
data,,,
0,0.10641439523270028,0.10641439523270028,1.0
1,0.11170453991184662,0.11170453991184662,1.0
2,0.11550102305108649,0.11550102305108649,1.0
3,0.12446915102765234,0.12446915102765234,1.0
4,0.13156276427704006,0.13156276427704006,1.0
5,0.144431552602136,0.144431552602136,1.0
6,0.15732611966690266,0.15732611966690266,1.0
7,0.18735233961085251,0.18735233961085251,1.0
8,0.20607040096748927,0.20607040096748927,1.0
9,0.21642665755902143,0.21642665755902143,1.0
10,0.2292848257384748,0.2292848257384748,1.0
