,Reference,New,ratio
,0,0,0
data,,,
0,17778.483571556117,17778.483571556117,1.0
1,17751.391099481218,17751.391099481218,1.0
2,17702.34636000706,17702.34636000706,1.0
3,17680.066834196816,17680.066834196816,1.0
4,17621.867134347613,17621.867134347613,1.0
5,17563.39558422902,17563.39558422902,1.0
6,17466.90220431736,17466.90220431736,1.0
7,17398.68675081204,17398.68675081204,1.0
8,17287.7793929902,17287.7793929902,1.0
9,17160.165213374814,17160.165213374814,1.0
10,17036.809098608705,17036.809098608705,1.0
11,16897.863300135195,16897.863300135195,1.0
12,16768.585760843365,16768.585760843365,1.0
13,16579.540635225934,16579.540635225934,1.0
14,16390.702652597964,16390.702652597964,1.0
15,16129.80333466074,16129.80333466074,1.0
16,15800.880342264414,15800.880342264414,1.0
17,15279.391208415254,15279.391208415254,1.0
18,14508.093644183436,14508.093644183436,1.0
19,13328.684810134315,13328.684810134315,1.0
20,11371.631968320693,11371.631968320693,1.0
21,8622.749477280178,8622.749477280178,1.0
24,28408.88860270337,28408.88860270337,1.0
25,28377.555408669592,28377.555408669592,1.0
26,28353.548723025033,28353.548723025033,1.0
27,28339.971640679803,28339.971640679803,1.0
28,28288.45528226797,28288.45528226797,1.0
29,28217.51276083915,28217.51276083915,1.0
30,28156.486677533798,28156.486677533798,1.0
31,28079.659570816573,28079.659570816573,1.0
32,27958.3267160712,27958.3267160712,1.0
33,27870.177633284227,27870.177633284227,1.0
34,27720.667984385622,27720.667984385622,1.0
35,27506.377445151305,27506.377445151305,1.0
36,27238.052895636967,27238.052895636967,1.0
37,26728.95374748109,26728.95374748109,1.0
38,25831.384088469713,25831.384088469713,1.0
39,24557.162945639026,24557.162945639026,1.0
40,22777.916675600572,22777.916675600572,1.0
41,20498.694429594758,20498.694429594758,1.0
42,17664.443801121524,17664.443801121524,1.0
43,14457.65436099327,14457.65436099327,1.0
44,11226.867058987025,11226.867058987025,1.0
45,8062.700164812422,8062.700164812422,1.0
48,11434.298539056148,11434.298539056148,1.0
49,11432.887568309265,11432.887568309265,1.0
50,11421.48619387126,11421.48619387126,1.0
51,11407.469580271383,11407.469580271383,1.0
52,11399.812469992725,11399.812469992725,1.0
53,11374.081566998953,11374.081566998953,1.0
54,11355.827882997493,11355.827882997493,1.0
55,11308.669060267335,11308.669060267335,1.0
56,11232.375038488308,11232.375038488308,1.0
57,11104.70669043498,11104.70669043498,1.0
58,10890.062250423161,10890.062250423161,1.0
59,10532.661846925032,10532.661846925032,1.0
60,10045.414525489705,10045.414525489705,1.0
61,9443.370524995333,9443.370524995333,1.0
62,8820.990934346844,8820.990934346844,1.0
63,8117.362243674331,8117.362243674331,1.0
64,7347.035259193897,7347.035259193897,1.0
65,6495.5404579005835,6495.5404579005835,1.0
66,5585.686213488032,5585.686213488032,1.0
67,4624.814278809375,4624.814278809375,1.0
68,3627.0528124540187,3627.0528124540187,1.0
69,2600.3288238120203,2600.3288238120203,1.0
72,333438.63245636236,333438.63245636236,1.0
73,333015.8379729629,333015.8379729629,1.0
74,331716.69123095257,331716.69123095257,1.0
75,329761.80977545306,329761.80977545306,1.0
76,326759.9908464959,326759.9908464959,1.0
77,321769.94594375225,321769.94594375225,1.0
78,315541.1120191675,315541.1120191675,1.0
79,308840.2270414319,308840.2270414319,1.0
80,300874.23660453147,300874.23660453147,1.0
81,291379.1994495343,291379.1994495343,1.0
82,280366.4633468285,280366.4633468285,1.0
83,267774.69721570757,267774.69721570757,1.0
84,253261.1759777439,253261.1759777439,1.0
85,237186.0135374143,237186.0135374143,1.0
86,219250.2097019082,219250.2097019082,1.0
87,199441.98399026328,199441.98399026328,1.0
88,178206.3381469205,178206.3381469205,1.0
89,155719.8266416883,155719.8266416883,1.0
90,131845.23051800652,131845.23051800652,1.0
91,107456.35166158393,107456.35166158393,1.0
92,82832.76398772394,82832.76398772394,1.0
93,58140.562487668736,58140.562487668736,1.0
96,3468.6211391181373,3468.6211391181373,1.0
97,3456.7586557380246,3456.7586557380246,1.0
98,3432.846679804466,3432.846679804466,1.0
99,3402.20838145527,3402.20838145527,1.0
100,3363.778475728465,3363.778475728465,1.0
101,3314.119967916581,3314.119967916581,1.0
102,3257.4046780181698,3257.4046780181698,1.0
103,3187.2107424903447,3187.2107424903447,1.0
104,3104.8420365416996,3104.8420365416996,1.0
105,3008.779784231504,3008.779784231504,1.0
106,2896.741102164262,2896.741102164262,1.0
107,2769.180319016665,2769.180319016665,1.0
108,2622.522551131393,2622.522551131393,1.0
109,2456.295155274687,2456.295155274687,1.0
110,2270.00933720175,2270.00933720175,1.0
111,2064.7121863186176,2064.7121863186176,1.0
112,1842.049427493399,1842.049427493399,1.0
113,1602.34954733743,1602.34954733743,1.0
114,1351.2413439695865,1351.2413439695865,1.0
115,1092.0710728555314,1092.0710728555314,1.0
116,832.0200754322168,832.0200754322168,1.0
117,575.0421117949846,575.0421117949846,1.0
