,Reference,New,ratio
,0,0,0
data,,,
2,4260.920574021289,4260.920574021289,1.0
3,5687.461355780471,5687.461355780471,1.0
4,6841.982816030944,6841.982816030944,1.0
5,7682.70649099456,7682.70649099456,1.0
6,8166.95266376818,8166.95266376818,1.0
7,8250.868977507043,8250.868977507043,1.0
8,7923.73088469257,7923.73088469257,1.0
9,7179.81359107231,7179.81359107231,1.0
10,5904.499828259076,5904.499828259076,1.0
11,4347.844798891303,4347.844798891303,1.0
12,2877.502935829128,2877.502935829128,1.0
13,1679.7105297159983,1679.7105297159983,1.0
14,826.4480700087196,826.4480700087196,1.0
15,317.1531604585859,317.1531604585859,1.0
16,104.02270675837427,104.02270675837427,1.0
18,183749.93104618305,183749.93104618305,1.0
19,159382.86777079533,159382.86777079533,1.0
20,128375.99767437117,128375.99767437117,1.0
21,95298.5353064138,95298.5353064138,1.0
22,64505.16430751064,64505.16430751064,1.0
23,60838.776408265905,60838.776408265905,1.0
24,14875.20802205229,14875.20802205229,1.0
26,108776.38166676981,108776.38166676981,1.0
27,101197.55286403093,101197.55286403093,1.0
28,92235.66082169324,92235.66082169324,1.0
29,81629.66115086238,81629.66115086238,1.0
30,69197.81779347068,69197.81779347068,1.0
31,96036.31563742908,96036.31563742908,1.0
32,42913.83228955816,42913.83228955816,1.0
