,Reference,New,ratio
,0,0,0
data,,,
18,1.6987617665953434,1.6963827281571513,1.0014024184511572
19,1.6638679127808456,1.661645162910063,1.0013376802222262
22,1.7087043216410391,1.7058325075718817,1.0016835264050896
23,1.6748039200178464,1.6721214782843923,1.001604214626922
24,1.6452941459407735,1.6428041802338662,1.0015156801625333
26,1.637134080280957,1.634129490883337,1.001838648292184
27,1.6023915852469675,1.5995909678515159,1.0017508334641407
28,1.571898216505895,1.5692995475238922,1.00165594196857
29,1.5455762740848673,1.5431767607959115,1.0015549179782348
31,1.4793306548205565,1.476673854445339,1.0017991788553846
32,1.444827276466021,1.4423686195795467,1.001704596767497
33,1.415929225920836,1.4136604889142084,1.0016048669566837
34,1.3912577845715708,1.3891726720393285,1.0015009743383314
37,1.1588185677244158,1.1570829094996018,1.0015000292637324
38,1.130537428467902,1.128947508767446,1.0014083203055133
41,0.7544518423728807,0.7535964111347746,1.0011351317833612
42,0.7305933813180758,0.7298164400941856,1.0010645707347865
66,1.6382577740373565,1.6370921931188618,1.0007119824548636
70,1.7686625976361214,1.7668306609294322,1.0010368490581467
71,1.7280359986979246,1.7263161248808525,1.0009962681760798
72,1.693144637405561,1.6915415113222982,1.0009477308552774
75,1.7597902150430138,1.7576007748322506,1.0012456982507716
76,1.7202444447704048,1.718192275231745,1.0011943771184648
77,1.685237965406844,1.683325463747572,1.0011361449110465
78,1.6552496846670655,1.6534775979129845,1.0010717331497674
80,1.6739398752244299,1.6716621702908356,1.001362539018992
81,1.6332388382741068,1.6311125621858502,1.0013035740987777
82,1.5974223195448487,1.595444698702314,1.0012395420813665
83,1.5663680707379375,1.5645361605320482,1.0011708966862525
84,1.5397880928336494,1.5380991012821945,1.001098103204174
86,1.5010524237798615,1.4990415759823323,1.0013414222992525
87,1.4599277653955418,1.4580675544694337,1.001275805719979
88,1.4260840671595127,1.4243655678197513,1.001206501602248
89,1.3974468628354608,1.395863474085485,1.0011343435653786
90,1.3730470573297175,1.371593501077584,1.0010597573194913
92,1.2014823178600083,1.2000529707631171,1.0011910700041702
93,1.159392116115817,1.1580849026073003,1.001128771738215
94,1.1265681216923598,1.1253709804995122,1.0010637747139313
95,1.0997527056764105,1.098657176095728,1.000997153256283
96,1.0772223406673778,1.0762222083752997,1.0009292990650953
99,0.749638314853591,0.7489975027801905,1.0008555596928186
100,0.7216623058546213,0.7210812826654054,1.0008057665663823
101,0.6991211725551427,0.6985935662202667,1.000755240758558
105,0.3848479854113501,0.3846319400987922,1.0005616936349655
106,0.3699490129779506,0.3697547369310432,1.0005254186829893
111,0.156113161350521,0.1560617547797445,1.0003293989026911
130,1.7159567579562078,1.7149739812546496,1.0005730563333908
131,1.674894325271939,1.6739729545022863,1.000550409591251
132,1.6411248170405566,1.6402679710136696,1.0005223817339781
135,1.8325388408625158,1.8310174880838044,1.0008308783442061
136,1.7864081871320372,1.7849723280063525,1.0008044153419948
137,1.7454409193687688,1.744095572920251,1.0007713719760583
138,1.7105600484569614,1.709307962120146,1.0007325106795046
139,1.6820869150356001,1.6809297231012799,1.0006884237445604
141,1.8097459439972738,1.8079368923534485,1.0010006165876013
142,1.7647441067050653,1.7630418358959288,1.0009655305815652
143,1.7239691687250893,1.7223767846234033,1.0009245271510288
144,1.6883621868008019,1.6868805141914769,1.0008783506578325
145,1.6580098869262827,1.656638811924131,1.0008276245807373
146,1.6329994963704921,1.6317384586052004,1.000772818559642
147,1.716790912782553,1.7149089547094998,1.0010974099049894
148,1.6687977782755976,1.6670385827427794,1.0010552818339236
